POS Awesome,POS ഗംഭീരം
This coupon already used !,ഈ കൂപ്പൺ ഇതിനകം ഉപയോഗിച്ചു!
This invoice does not need change-allocation repair,ഈ ഇൻവോയ്‌സിന് മാറ്റം-അലോക്കേഷൻ റിപ്പയർ ആവശ്യമില്ല
This invoice is already repaired,ഈ ഇൻവോയ്സ് ഇതിനകം നന്നാക്കിയിട്ടുണ്ട്
This is an item template. Please choose a variant.,ഇതൊരു ഇനം ടെംപ്ലേറ്റ് ആണ്. ദയവായി ഒരു വേരിയൻ്റ് തിരഞ്ഞെടുക്കുക.
this item,ഈ ഇനം
This POS page could not be opened offline because its code was not cached on this terminal yet.,ഈ ടെർമിനലിൽ അതിൻ്റെ കോഡ് ഇതുവരെ കാഷെ ചെയ്യാത്തതിനാൽ ഈ POS പേജ് ഓഫ്‌ലൈനിൽ തുറക്കാൻ കഴിഞ്ഞില്ല.
This Serial Number {0} has already been added!,ഈ സീരിയൽ നമ്പർ {0} ഇതിനകം ചേർത്തിട്ടുണ്ട്!
Threshold,ത്രെഷോൾഡ്
Time,സമയം
Tip: Clear cache regularly to free up space and keep the app fast.,നുറുങ്ങ്: ഇടം സൃഷ്‌ടിക്കാനും ആപ്പ് വേഗത്തിലാക്കാനും പതിവായി കാഷെ മായ്‌ക്കുക.
Tip: Close unused tabs or apps to reduce lag.,നുറുങ്ങ്: കാലതാമസം കുറയ്ക്കാൻ ഉപയോഗിക്കാത്ത ടാബുകളോ ആപ്പുകളോ അടയ്ക്കുക.
Tip: Monitor slow queries and table size for optimal performance.,നുറുങ്ങ്: ഒപ്റ്റിമൽ പ്രകടനത്തിനായി മന്ദഗതിയിലുള്ള ചോദ്യങ്ങളും പട്ടികയുടെ വലുപ്പവും നിരീക്ഷിക്കുക.
To Be Paid,പണം നൽകണം
To Date,ഇന്നുവരെ
Today,ഇന്ന്
Today Profit,ഇന്ന് ലാഭം
Today Sales,ഇന്ന് വിൽപ്പന
Toggle navigation drawer,നാവിഗേഷൻ ഡ്രോയർ ടോഗിൾ ചെയ്യുക
Toggle Theme,തീം ടോഗിൾ ചെയ്യുക
Tools,ഉപകരണങ്ങൾ
Tools for customer-facing screens and terminal-specific actions.,ഉപഭോക്താവിനെ അഭിമുഖീകരിക്കുന്ന സ്ക്രീനുകൾക്കും ടെർമിനൽ-നിർദ്ദിഷ്ട പ്രവർത്തനങ്ങൾക്കുമുള്ള ഉപകരണങ്ങൾ.
Top Brand,മുൻനിര ബ്രാൻഡ്
Top Category,മുൻനിര വിഭാഗം
Top Charge Head,ടോപ്പ് ചാർജ് ഹെഡ്
Top Customers,മുൻനിര ഉപഭോക്താക്കൾ
Top Discount,ടോപ്പ് ഡിസ്കൗണ്ട്
Top Items by Location,ലൊക്കേഷൻ അനുസരിച്ച് മികച്ച ഇനങ്ങൾ
Top Margin,മുകളിലെ മാർജിൻ
Top Pending,തീർപ്പുകൽപ്പിക്കാത്ത ടോപ്പ്
Top Profit Item,ഏറ്റവും ഉയർന്ന ലാഭ ഇനം
Top Return Items,മുൻനിര റിട്ടേൺ ഇനങ്ങൾ
Top Sales by Cashier,കാഷ്യറുടെ ഏറ്റവും മികച്ച വിൽപ്പന
Top Supplier,മുൻനിര വിതരണക്കാരൻ
Top Suppliers by Spend,ചെലവ് പ്രകാരം മുൻനിര വിതരണക്കാർ
Top Tables,മുൻനിര പട്ടികകൾ
Top Tax Head,ടോപ്പ് ടാക്സ് ഹെഡ്
Top Up Amount,ടോപ്പ് അപ്പ് തുക
Top Up Card,ടോപ്പ് അപ്പ് കാർഡ്
Top Up Mode,ടോപ്പ് അപ്പ് മോഡ്
Top Variant,ടോപ്പ് വേരിയൻ്റ്
Total,ആകെ
Total Amount,ആകെ തുക
Total Change,ആകെ മാറ്റം
Total Charges,മൊത്തം ചാർജുകൾ
Total In,ആകെ ഇൻ
Total Invoices,മൊത്തം ഇൻവോയ്‌സുകൾ
Total Items,മൊത്തം ഇനങ്ങൾ
Total Mpesa,ആകെ എംപെസ
Total Out,ആകെ ഔട്ട്
Total Payments,മൊത്തം പേയ്‌മെൻ്റുകൾ
Total Purchase,മൊത്തം വാങ്ങൽ
Total Selected :,ആകെ തിരഞ്ഞെടുത്തത്:
Total Size,ആകെ വലിപ്പം
Total Stock Qty,മൊത്തം സ്റ്റോക്ക് Qty
Total:,ആകെ:
Totals by Invoice Currency,ഇൻവോയ്സ് കറൻസി പ്രകാരം ആകെ
Track how much cash was handed back to customers,ഉപഭോക്താക്കൾക്ക് എത്ര പണം തിരികെ കൈമാറിയെന്ന് ട്രാക്ക് ചെയ്യുക
"Track recent sales, collect unpaid balances, and reopen saved work","സമീപകാല വിൽപ്പന ട്രാക്ക് ചെയ്യുക, പണമടയ്ക്കാത്ത ബാലൻസുകൾ ശേഖരിക്കുക, സംരക്ഷിച്ച ജോലി വീണ്ടും തുറക്കുക"
Transaction ID,ഇടപാട് ഐഡി
Transfer,കൈമാറ്റം
Try a different search term or clear the cart search.,മറ്റൊരു തിരയൽ പദം പരീക്ഷിക്കുക അല്ലെങ്കിൽ കാർട്ട് തിരയൽ മായ്‌ക്കുക.
Try adjusting your search or filters,നിങ്ങളുടെ തിരയൽ അല്ലെങ്കിൽ ഫിൽട്ടറുകൾ ക്രമീകരിക്കാൻ ശ്രമിക്കുക
Try another source or refresh the list.,മറ്റൊരു ഉറവിടം പരീക്ഷിക്കുക അല്ലെങ്കിൽ ലിസ്റ്റ് പുതുക്കുക.
Try changing the date range or status filter.,തീയതി ശ്രേണിയോ സ്റ്റാറ്റസ് ഫിൽട്ടറോ മാറ്റാൻ ശ്രമിക്കുക.
Type,ടൈപ്പ് ചെയ്യുക
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,അടിസ്ഥാന ക്രമീകരണങ്ങൾ ഉപയോഗിച്ച് പോലും ക്യാമറ ആക്‌സസ് ചെയ്യാൻ കഴിയുന്നില്ല. നിങ്ങളുടെ ക്യാമറ അനുമതികളും ഉപകരണ അനുയോജ്യതയും പരിശോധിക്കുക.
Unable to add offer item {0}. Please refresh and try again.,ഓഫർ ഇനം {0} ചേർക്കാനായില്ല. പുതുക്കി വീണ്ടും ശ്രമിക്കുക.
Unable to add offer item. Please refresh and try again.,ഓഫർ ഇനം ചേർക്കാനായില്ല. പുതുക്കി വീണ്ടും ശ്രമിക്കുക.
Unable to add scanned item.,സ്കാൻ ചെയ്ത ഇനം ചേർക്കാനായില്ല.
Unable to create purchase order,വാങ്ങൽ ഓർഡർ സൃഷ്‌ടിക്കാനായില്ല
Unable to delete draft invoice,ഡ്രാഫ്റ്റ് ഇൻവോയ്സ് ഇല്ലാതാക്കാൻ കഴിയുന്നില്ല
Unable to fetch documents,രേഖകൾ ലഭ്യമാക്കാനായില്ല
Unable to fetch draft orders,ഡ്രാഫ്റ്റ് ഓർഡറുകൾ ലഭ്യമാക്കാനായില്ല
Unable to fetch invoice history,ഇൻവോയ്സ് ചരിത്രം ലഭ്യമാക്കാനായില്ല
Unable to fetch M-Pesa payments,എം-പെസ പേയ്‌മെൻ്റുകൾ ലഭ്യമാക്കാനായില്ല
Unable to fetch sales orders,വിൽപ്പന ഓർഡറുകൾ ലഭ്യമാക്കാനായില്ല
Unable to fetch unpaid invoices,പണമടയ്ക്കാത്ത ഇൻവോയ്‌സുകൾ ലഭ്യമാക്കാനായില്ല
Unable to generate scale barcode,സ്കെയിൽ ബാർകോഡ് സൃഷ്ടിക്കാൻ കഴിയുന്നില്ല
Unable to issue gift card.,സമ്മാന കാർഡ് നൽകാനായില്ല.
Unable to load cashier PIN status.,കാഷ്യർ പിൻ സ്റ്റാറ്റസ് ലോഡുചെയ്യാനായില്ല.
Unable to load document,പ്രമാണം ലോഡ് ചെയ്യാനായില്ല
Unable to load draft invoice,ഡ്രാഫ്റ്റ് ഇൻവോയ്സ് ലോഡുചെയ്യാനായില്ല
Unable to load gift card balance.,ഗിഫ്റ്റ് കാർഡ് ബാലൻസ് ലോഡ് ചെയ്യാനാവുന്നില്ല.
Unable to load invoice details,ഇൻവോയ്സ് വിശദാംശങ്ങൾ ലോഡ് ചെയ്യാനായില്ല
Unable to load parked order,പാർക്ക് ചെയ്‌ത ഓർഡർ ലോഡുചെയ്യാനായില്ല
Unable to load the selected sales order,തിരഞ്ഞെടുത്ത വിൽപ്പന ഓർഡർ ലോഡ് ചെയ്യാനായില്ല
Unable to prepare document,പ്രമാണം തയ്യാറാക്കാൻ കഴിയുന്നില്ല
Unable to prepare return invoice,റിട്ടേൺ ഇൻവോയ്സ് തയ്യാറാക്കാനായില്ല
Unable to print draft invoice,ഡ്രാഫ്റ്റ് ഇൻവോയ്സ് പ്രിൻ്റ് ചെയ്യാനാവുന്നില്ല
Unable to print submitted invoice,സമർപ്പിച്ച ഇൻവോയ്സ് പ്രിൻ്റ് ചെയ്യാനാവുന്നില്ല
Unable to process document action,ഡോക്യുമെൻ്റ് പ്രവർത്തനം പ്രോസസ്സ് ചെയ്യാനായില്ല
Unable to repair change allocation,അലോക്കേഷൻ മാറ്റുന്നത് നന്നാക്കാനായില്ല
Unable to save cashier PIN.,കാഷ്യർ പിൻ സംരക്ഷിക്കാനായില്ല.
Unable to save the rate to the backend price list,ബാക്കെൻഡ് പ്രൈസ് ലിസ്റ്റിലേക്ക് നിരക്ക് സംരക്ഷിക്കാനായില്ല
Unable to submit invoice,ഇൻവോയ്സ് സമർപ്പിക്കാനായില്ല
Unable to submit the selected payment,തിരഞ്ഞെടുത്ത പേയ്‌മെൻ്റ് സമർപ്പിക്കാനായില്ല
Unable to top up gift card.,സമ്മാന കാർഡ് ടോപ്പ് അപ്പ് ചെയ്യാനായില്ല.
Unable to verify cashier PIN.,കാഷ്യർ പിൻ പരിശോധിക്കാനായില്ല.
Unallocated,അനുവദിച്ചിട്ടില്ല
Unallocated:,അനുവദിച്ചിട്ടില്ല:
Unavailable,ലഭ്യമല്ല
Unknown,അജ്ഞാതം
Unknown Item,അജ്ഞാത ഇനം
Unknown Warehouse,അജ്ഞാത വെയർഹൗസ്
Unlock POS,POS അൺലോക്ക് ചെയ്യുക
Unpaid,പണം നൽകാത്തത്
"Unselected payments stay unallocated first, then auto reconcile after submit.","തിരഞ്ഞെടുക്കാത്ത പേയ്‌മെൻ്റുകൾ ആദ്യം അൺലോക്കേറ്റ് ചെയ്യപ്പെടാതെ തുടരുക, തുടർന്ന് സമർപ്പിച്ചതിന് ശേഷം സ്വയമേവ അനുരഞ്ജിപ്പിക്കുക."
UOM,UOM
UOM not found,UOM കണ്ടെത്തിയില്ല
Update available,അപ്ഡേറ്റ് ലഭ്യമാണ്
Update Customer,ഉപഭോക്താവിനെ അപ്ഡേറ്റ് ചെയ്യുക
Update PIN,പിൻ അപ്ഡേറ്റ് ചെയ്യുക
Update Price List Rate,വില ലിസ്റ്റ് നിരക്ക് അപ്ഡേറ്റ് ചെയ്യുക
Updated,അപ്ഡേറ്റ് ചെയ്തു
Updates and app info that stay out of the cashier flow.,കാഷ്യർ ഫ്ലോയിൽ നിന്ന് അകന്നുനിൽക്കുന്ന അപ്‌ഡേറ്റുകളും ആപ്പ് വിവരങ്ങളും.
Updates automatically,യാന്ത്രികമായി അപ്ഡേറ്റുകൾ
Usage,ഉപയോഗം
Usage Stats,ഉപയോഗ സ്ഥിതിവിവരക്കണക്കുകൾ
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,കാഷ്യർ സ്വിച്ചിംഗിനും ടെർമിനൽ അൺലോക്കിനും 4 മുതൽ 8 അക്കങ്ങൾ വരെയുള്ള പിൻ ഉപയോഗിക്കുക.
Use Cashier,കാഷ്യർ ഉപയോഗിക്കുക
Use date range to search for older invoices,പഴയ ഇൻവോയ്‌സുകൾക്കായി തിരയാൻ തീയതി ശ്രേണി ഉപയോഗിക്കുക
"Use one field for manual code entry, barcode scans, or QR scans.","മാനുവൽ കോഡ് എൻട്രി, ബാർകോഡ് സ്കാൻ അല്ലെങ്കിൽ ക്യുആർ സ്കാൻ എന്നിവയ്ക്കായി ഒരു ഫീൽഡ് ഉപയോഗിക്കുക."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS-ൽ നിന്ന് പുറത്തുപോകാതെ തന്നെ ബാലൻസ് ചെക്കുകൾ, പുതിയ ഇഷ്യു, ടോപ്പ് അപ്പുകൾ എന്നിവയ്ക്കായി ഒരു വർക്ക്ഫ്ലോ ഉപയോഗിക്കുക."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","കാഷെ ചെയ്‌ത മുൻവ്യവസ്ഥ ഡാറ്റയ്ക്ക് ഒരു പുതുക്കൽ, പുനർനിർമ്മാണം അല്ലെങ്കിൽ ഡയഗ്നോസ്റ്റിക്സ് അവലോകനം ആവശ്യമായി വരുമ്പോൾ ഈ വിഭാഗം ഉപയോഗിക്കുക."
Use Western numerals,പാശ്ചാത്യ അക്കങ്ങൾ ഉപയോഗിക്കുക
Used:,ഉപയോഗിച്ചത്:
Using basic camera settings due to device limitations,ഉപകരണ പരിമിതികൾ കാരണം അടിസ്ഥാന ക്യാമറ ക്രമീകരണങ്ങൾ ഉപയോഗിക്കുന്നു
Using cached customer balance,കാഷെ ചെയ്ത ഉപഭോക്തൃ ബാലൻസ് ഉപയോഗിക്കുന്നു
Valid until,വരെ സാധുവാണ്
Variance %,വ്യത്യാസം %
Variants,വകഭേദങ്ങൾ
Variant-wise,വേരിയൻ്റ് തിരിച്ച്
Verify closing amounts for each payment method,ഓരോ പേയ്‌മെൻ്റ് രീതിയുടെയും ക്ലോസിംഗ് തുകകൾ പരിശോധിച്ചുറപ്പിക്കുക
View all,എല്ലാം കാണുക
View app information and current build details,ആപ്പ് വിവരങ്ങളും നിലവിലെ ബിൽഡ് വിശദാംശങ്ങളും കാണുക
View Data Diagnostics,ഡാറ്റ ഡയഗ്നോസ്റ്റിക്സ് കാണുക
View Details,വിശദാംശങ്ങൾ കാണുക
View invoice details,ഇൻവോയ്സ് വിശദാംശങ്ങൾ കാണുക
View notifications,അറിയിപ്പുകൾ കാണുക
View offline invoices,ഓഫ്‌ലൈൻ ഇൻവോയ്‌സുകൾ കാണുക
View restricted POS insights,നിയന്ത്രിത POS സ്ഥിതിവിവരക്കണക്കുകൾ കാണുക
Void Amount,അസാധുവായ തുക
Void Count,ശൂന്യമായ എണ്ണം
Voids,ശൂന്യത
Waiting for cart items,വണ്ടി സാധനങ്ങൾക്കായി കാത്തിരിക്കുന്നു
Waiting for payment...,പേയ്‌മെൻ്റിനായി കാത്തിരിക്കുന്നു...
Walk-in Customer,വാക്ക്-ഇൻ കസ്റ്റമർ
Warehouse,വെയർഹൗസ്
Warning: High cache usage may affect performance.,മുന്നറിയിപ്പ്: ഉയർന്ന കാഷെ ഉപയോഗം പ്രകടനത്തെ ബാധിച്ചേക്കാം.
Warning: High lag may indicate heavy processing or browser slowness.,മുന്നറിയിപ്പ്: ഉയർന്ന കാലതാമസം കനത്ത പ്രോസസ്സിംഗ് അല്ലെങ്കിൽ ബ്രൗസർ മന്ദതയെ സൂചിപ്പിക്കാം.
Week ?,ആഴ്ച?
Week-wise,ആഴ്ച തിരിച്ച്
Weight (g),ഭാരം (ഗ്രാം)
Weight (grams),ഭാരം (ഗ്രാം)
We'll let you know if an invoice fails to submit,ഒരു ഇൻവോയ്സ് സമർപ്പിക്കുന്നതിൽ പരാജയപ്പെട്ടാൽ ഞങ്ങൾ നിങ്ങളെ അറിയിക്കും
Workflow,വർക്ക്ഫ്ലോ
Write off amount cannot exceed the POS profile maximum of {0},എഴുതിത്തള്ളുന്ന തുക POS പ്രൊഫൈൽ പരമാവധി {0} കവിയരുത്
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,എഴുതിത്തള്ളുന്ന തുക അനുവദനീയമായ പരിധി കവിയുന്നു ({0}). ബാക്കി തുകയ്ക്ക് പേയ്‌മെൻ്റ് ചേർക്കുക.
Yes,അതെ
"Yes, Cancel sale","അതെ, വിൽപ്പന റദ്ദാക്കുക"
"Yes, Close","അതെ, അടയ്ക്കുക"
You are not allowed to print draft invoices,നിങ്ങൾക്ക് ഡ്രാഫ്റ്റ് ഇൻവോയ്‌സുകൾ പ്രിൻ്റ് ചെയ്യാൻ അനുവാദമില്ല
You are offline. Add Payment will work again when the connection is restored.,നിങ്ങൾ ഓഫ്‌ലൈനാണ്. കണക്ഷൻ പുനഃസ്ഥാപിക്കുമ്പോൾ പേയ്‌മെൻ്റ് ചേർക്കുക വീണ്ടും പ്രവർത്തിക്കും.
You have no notifications right now,നിങ്ങൾക്ക് ഇപ്പോൾ അറിയിപ്പുകളൊന്നുമില്ല
Your Cart,നിങ്ങളുടെ വണ്ടി
