POS Awesome,POS အရမ်းကောင်းတယ်။
Unable to generate scale barcode,စကေးဘားကုဒ်ကို ထုတ်လုပ်၍မရပါ။
Unable to issue gift card.,လက်ဆောင်ကတ်ကို ထုတ်မပေးနိုင်ပါ။
Unable to load cashier PIN status.,ငွေကိုင် ပင်နံပါတ် အခြေအနေကို တင်၍မရပါ။
Unable to load document,စာရွက်စာတမ်းကို တင်၍မရပါ။
Unable to load draft invoice,ပြေစာမူကြမ်းကို တင်၍မရပါ။
Unable to load gift card balance.,လက်ဆောင်ကတ် လက်ကျန်ကို တင်၍မရပါ။
Unable to load invoice details,ပြေစာအသေးစိတ်အချက်အလက်များကို ဖွင့်၍မရပါ။
Unable to load parked order,ရပ်ထားသည့်အမိန့်ကို တင်၍မရပါ။
Unable to load the selected sales order,ရွေးချယ်ထားသော အရောင်းအမှာစာကို တင်၍မရပါ။
Unable to prepare document,စာရွက်စာတမ်းကို ပြင်ဆင်၍မရပါ။
Unable to prepare return invoice,ပြန်ပို့လွှာကို ပြင်ဆင်၍မရပါ။
Unable to print draft invoice,ပြေစာမူကြမ်းကို ပရင့်ထုတ်၍မရပါ။
Unable to print submitted invoice,တင်သွင်းထားသော ပြေစာအား ပရင့်ထုတ်၍မရပါ။
Unable to process document action,စာရွက်စာတမ်းလုပ်ဆောင်ချက်ကို မလုပ်ဆောင်နိုင်ပါ။
Unable to repair change allocation,ပြောင်းလဲမှုခွဲဝေမှုကို ပြုပြင်၍မရပါ။
Unable to save cashier PIN.,ငွေကိုင် PIN ကို သိမ်းဆည်း၍မရပါ။
Unable to save the rate to the backend price list,နောက်တန်းစျေးနှုန်းစာရင်းတွင် နှုန်းထားကို မသိမ်းဆည်းနိုင်ပါ။
Unable to submit invoice,ပြေစာပေးပို့၍မရပါ။
Unable to submit the selected payment,ရွေးချယ်ထားသော ငွေပေးချေမှုကို တင်သွင်း၍မရပါ။
Unable to top up gift card.,လက်ဆောင်ကတ်ကို ငွေဖြည့်၍မရပါ။
Unable to verify cashier PIN.,ငွေကိုင် PIN ကို အတည်ပြု၍မရပါ။
Unallocated,ခွဲဝေမပေး
Unallocated:,ခွဲဝေမထားသော-
Unavailable,မရနိုင်ပါ။
Unknown,မသိ
Unknown Item,အမည်မသိ ပစ္စည်း
Unknown Warehouse,အမည်မသိ ဂိုဒေါင်
Unlock POS,POS လော့ခ်ဖွင့်ပါ။
Unpaid,အခကြေးငွေမယူရသေး
"Unselected payments stay unallocated first, then auto reconcile after submit.",မရွေးချယ်ထားသော ငွေပေးချေမှုများကို ဦးစွာခွဲဝေမထားဘဲ ဆက်လက်ထားရှိကာ တင်သွင်းပြီးနောက် အလိုအလျောက် ပြန်လည်ညှိနှိုင်းပါ။
UOM,UOM
UOM not found,UOM မတွေ့ပါ။
Update available,အပ်ဒိတ်ရနိုင်သည်။
Update Customer,အပ်ဒိတ်ဖောက်သည်
Update PIN,ပင်နံပါတ်ကို အပ်ဒိတ်လုပ်ပါ။
Update Price List Rate,စျေးနှုန်းစာရင်းနှုံးကို အပ်ဒိတ်လုပ်ပါ။
Updated,မွမ်းမံထားသည်။
Updates and app info that stay out of the cashier flow.,အပ်ဒိတ်များနှင့် ငွေကိုင်လည်ပတ်မှုမှ ကင်းဝေးသော အက်ပ်အချက်အလက်။
Updates automatically,အလိုအလျောက် အပ်ဒိတ်များ
Usage,အသုံးပြုမှု
Usage Stats,အသုံးပြုမှုအခြေနေ
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,ငွေကိုင်လွှဲခြင်းနှင့် terminal လော့ခ်ဖွင့်ရန်အတွက် ဂဏန်း 4 လုံးမှ 8 လုံး PIN ကို အသုံးပြုပါ။
Use Cashier,Cashier ကိုသုံးပါ။
Use date range to search for older invoices,ငွေတောင်းခံလွှာအဟောင်းများကို ရှာဖွေရန် ရက်အပိုင်းအခြားကို အသုံးပြုပါ။
"Use one field for manual code entry, barcode scans, or QR scans.",ကိုယ်တိုင်ကုဒ်ထည့်သွင်းခြင်း၊ ဘားကုဒ်စကင်န်ဖတ်ခြင်း သို့မဟုတ် QR စကင်ဖတ်ခြင်းအတွက် အကွက်တစ်ခုကို အသုံးပြုပါ။
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",လက်ကျန်ငွေစစ်ဆေးခြင်း၊ ထုတ်ပေးခြင်းနှင့် ငွေဖြည့်ခြင်းများအတွက် အလုပ်အသွားအလာတစ်ခုအား အသုံးပြုပါ။
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",ကက်ရှ်လုပ်ထားသော ကြိုတင်လိုအပ်သည့်ဒေတာကို ပြန်လည်ဆန်းသစ်ရန်၊ ပြန်လည်တည်ဆောက်ရန် သို့မဟုတ် ရောဂါရှာဖွေရေး ပြန်လည်သုံးသပ်မှု လိုအပ်သည့်အခါ ဤကဏ္ဍကို အသုံးပြုပါ။
Use Western numerals,အနောက်တိုင်းဂဏန်းများကိုသုံးပါ။
Used:,အသုံးပြုသည်-
Using basic camera settings due to device limitations,စက်ကန့်သတ်ချက်များကြောင့် အခြေခံကင်မရာဆက်တင်များကို အသုံးပြုခြင်း။
Using cached customer balance,သိမ်းဆည်းထားသော ဖောက်သည်လက်ကျန်ကို အသုံးပြုခြင်း။
Valid until,သည်အထိ အကျုံးဝင်သည်။
Variance %,ကွဲလွဲမှု %
Variants,မျိုးကွဲများ
Variant-wise,မူကွဲအလိုက်
Verify closing amounts for each payment method,ငွေပေးချေမှုနည်းလမ်းတစ်ခုစီအတွက် အပိတ်ပမာဏများကို အတည်ပြုပါ။
View all,အားလုံးကိုကြည့်ရှုပါ။
View app information and current build details,အက်ပ်အချက်အလက်နှင့် လက်ရှိတည်ဆောက်မှုအသေးစိတ်အချက်အလက်များကို ကြည့်ရှုပါ။
View Data Diagnostics,Data Diagnostics ကိုကြည့်ပါ။
View Details,အသေးစိတ်ကို ကြည့်ပါ။
View invoice details,ငွေတောင်းခံလွှာအသေးစိတ်အချက်အလက်များကို ကြည့်ရှုပါ။
View notifications,အကြောင်းကြားချက်များကို ကြည့်ပါ။
View offline invoices,အော့ဖ်လိုင်း ပြေစာများကို ကြည့်ပါ။
View restricted POS insights,ကန့်သတ်ထားသော POS သိကောင်းစရာများကို ကြည့်ပါ။
Void Amount,ပျက်ပြယ်သောပမာဏ
Void Count,ပျက်ပြယ်သောအရေအတွက်
Voids,ပျက်ပြယ်သည်။
Waiting for cart items,လှည်းပစ္စည်းများကို စောင့်နေသည်။
Waiting for payment...,ငွေပေးချေမှုကို စောင့်ဆိုင်းနေသည်...
Walk-in Customer,ဝင်ရောက်ဝယ်ယူသူ
Warehouse,ဂိုဒေါင်
Warning: High cache usage may affect performance.,သတိပေးချက်- မြင့်မားသော ကက်ရှ်အသုံးပြုမှုသည် စွမ်းဆောင်ရည်ကို ထိခိုက်စေနိုင်သည်။
Warning: High lag may indicate heavy processing or browser slowness.,သတိပေးချက်- အလွန်နှေးကွေးခြင်းသည် ပြင်းထန်သော လုပ်ဆောင်မှု သို့မဟုတ် ဘရောက်ဆာနှေးခြင်းကို ညွှန်ပြနိုင်သည်။
Week ?,တစ်ပတ် ?
Week-wise,အပတ်စဉ် ပညာရှိ
Weight (g),အလေးချိန် (ဆ)
Weight (grams),အလေးချိန် (ဂရမ်)
We'll let you know if an invoice fails to submit,ပြေစာတစ်ခု တင်ပြရန် ပျက်ကွက်ပါက သင့်အား ကျွန်ုပ်တို့ အသိပေးပါမည်။
Workflow,အလုပ်အသွားအလာ
Write off amount cannot exceed the POS profile maximum of {0},ရေးပယ်ထားသော ပမာဏသည် POS ပရိုဖိုင်၏ အများဆုံး {0} ထက် မကျော်လွန်နိုင်ပါ။
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,ရေးသွင်းသည့်ပမာဏသည် ခွင့်ပြုထားသောကန့်သတ်ချက်ထက်ကျော်လွန်နေသည် ({0})။ ကျန်ငွေပမာဏအတွက် ငွေပေးချေမှုကို ထည့်ပါ။
Yes,ဟုတ်ကဲ့
"Yes, Cancel sale",ဟုတ်ကဲ့၊ ရောင်းချမှုကို ပယ်ဖျက်ပါ။
"Yes, Close",ဟုတ်ကဲ့ ပိတ်ပါ။
You are not allowed to print draft invoices,ငွေတောင်းခံလွှာမူကြမ်းများကို ပုံနှိပ်ထုတ်ဝေခွင့်မပြုပါ။
You are offline. Add Payment will work again when the connection is restored.,သင်သည် အော့ဖ်လိုင်းဖြစ်နေသည်။ ချိတ်ဆက်မှုကို ပြန်လည်ရယူသောအခါတွင် ငွေပေးချေမှုကို ထည့်ပါ ထပ်မံလုပ်ဆောင်ပါမည်။
You have no notifications right now,သင့်တွင် ယခု အကြောင်းကြားချက်များ မရှိပါ။
Your Cart,သင်၏လှည်း
