POS Awesome,POS ಅದ್ಭುತವಾಗಿದೆ
Please request phone payment or use another payment method,ದಯವಿಟ್ಟು ಫೋನ್ ಪಾವತಿಗೆ ವಿನಂತಿಸಿ ಅಥವಾ ಇನ್ನೊಂದು ಪಾವತಿ ವಿಧಾನವನ್ನು ಬಳಸಿ
Please select a customer first,ದಯವಿಟ್ಟು ಮೊದಲು ಗ್ರಾಹಕರನ್ನು ಆಯ್ಕೆಮಾಡಿ
Please select a party,ದಯವಿಟ್ಟು ಪಕ್ಷವನ್ನು ಆಯ್ಕೆಮಾಡಿ
Please select a party before reconciling.,ಸಮನ್ವಯಗೊಳಿಸುವ ಮೊದಲು ದಯವಿಟ್ಟು ಪಕ್ಷವನ್ನು ಆಯ್ಕೆಮಾಡಿ.
Please select a valid movement type.,ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಚಲನೆಯ ಪ್ರಕಾರವನ್ನು ಆಯ್ಕೆಮಾಡಿ.
Please select an invoice,ದಯವಿಟ್ಟು ಇನ್‌ವಾಯ್ಸ್ ಆಯ್ಕೆಮಾಡಿ
Please select company before reconciling.,ಸಮನ್ವಯಗೊಳಿಸುವ ಮೊದಲು ದಯವಿಟ್ಟು ಕಂಪನಿಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.
Please set the customer's mobile number,ದಯವಿಟ್ಟು ಗ್ರಾಹಕರ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಹೊಂದಿಸಿ
Please try again or enter the item manually.,ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಐಟಂ ಅನ್ನು ಹಸ್ತಚಾಲಿತವಾಗಿ ನಮೂದಿಸಿ.
Please verify the barcode or check the item's availability.,ದಯವಿಟ್ಟು ಬಾರ್‌ಕೋಡ್ ಅನ್ನು ಪರಿಶೀಲಿಸಿ ಅಥವಾ ಐಟಂನ ಲಭ್ಯತೆಯನ್ನು ಪರಿಶೀಲಿಸಿ.
Points,ಅಂಕಗಳು
Popup blocked. Please allow popups.,ಪಾಪ್ಅಪ್ ನಿರ್ಬಂಧಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಪಾಪ್ಅಪ್ಗಳನ್ನು ಅನುಮತಿಸಿ.
POS,POS
POS controls and maintenance,POS ನಿಯಂತ್ರಣಗಳು ಮತ್ತು ನಿರ್ವಹಣೆ
POS Expense is disabled for this POS Profile.,ಈ POS ಪ್ರೊಫೈಲ್‌ಗಾಗಿ POS ವೆಚ್ಚವನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ.
POS is running with limited offline prerequisites.,POS ಸೀಮಿತ ಆಫ್‌ಲೈನ್ ಪೂರ್ವಾಪೇಕ್ಷಿತಗಳೊಂದಿಗೆ ಚಾಲನೆಯಲ್ಲಿದೆ.
POS Profile,POS ಪ್ರೊಫೈಲ್
Position the QR code or barcode within the scanning area,ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರದೇಶದಲ್ಲಿ QR ಕೋಡ್ ಅಥವಾ ಬಾರ್‌ಕೋಡ್ ಅನ್ನು ಇರಿಸಿ
Posting,ಪೋಸ್ಟ್ ಮಾಡಲಾಗುತ್ತಿದೆ
Posting and Price List,ಪೋಸ್ಟಿಂಗ್ ಮತ್ತು ಬೆಲೆ ಪಟ್ಟಿ
Posting Date,ಪೋಸ್ಟ್ ಮಾಡುವ ದಿನಾಂಕ
Preparing background sync,ಹಿನ್ನೆಲೆ ಸಿಂಕ್ ಅನ್ನು ಸಿದ್ಧಪಡಿಸಲಾಗುತ್ತಿದೆ
"Press OK to continue offline with a warning, or Cancel to retry.",ಎಚ್ಚರಿಕೆಯೊಂದಿಗೆ ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ಮುಂದುವರಿಯಲು ಸರಿ ಒತ್ತಿರಿ ಅಥವಾ ಮರುಪ್ರಯತ್ನಿಸಲು ರದ್ದುಮಾಡಿ.
Previous unit of measure,ಹಿಂದಿನ ಅಳತೆಯ ಘಟಕ
Price List,ಬೆಲೆ ಪಟ್ಟಿ
Price List Rate,ಬೆಲೆ ಪಟ್ಟಿ ದರ
Price list rate updated locally only,ಬೆಲೆ ಪಟ್ಟಿ ದರವನ್ನು ಸ್ಥಳೀಯವಾಗಿ ಮಾತ್ರ ನವೀಕರಿಸಲಾಗಿದೆ
Pricing & Discounts,ಬೆಲೆ ಮತ್ತು ರಿಯಾಯಿತಿಗಳು
Pricing Rule,ಬೆಲೆ ನಿಯಮ
Print,ಮುದ್ರಿಸು
Print Draft,ಡ್ರಾಫ್ಟ್ ಅನ್ನು ಮುದ್ರಿಸಿ
Print Format (Invoice),ಮುದ್ರಣ ಸ್ವರೂಪ (ಸರಕುಪಟ್ಟಿ)
Print Format (Order),ಪ್ರಿಂಟ್ ಫಾರ್ಮ್ಯಾಟ್ (ಆರ್ಡರ್)
Print invoice,ಪ್ರಿಂಟ್ ಇನ್ವಾಯ್ಸ್
Print Purchase Invoice instead of PO,PO ಬದಲಿಗೆ ಖರೀದಿ ಸರಕುಪಟ್ಟಿ ಮುದ್ರಿಸಿ
Printer,ಮುದ್ರಕ
Processed returns impacting the shift totals,ಶಿಫ್ಟ್ ಮೊತ್ತದ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುವ ಸಂಸ್ಕರಿಸಿದ ಆದಾಯ
Processing Payment,ಪಾವತಿಯನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗುತ್ತಿದೆ
Processing payment entries for Invoice {0},ಇನ್‌ವಾಯ್ಸ್ {0} ಗಾಗಿ ಪಾವತಿ ನಮೂದುಗಳನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗುತ್ತಿದೆ
Profile,ಪ್ರೊಫೈಲ್
Profiles,ಪ್ರೊಫೈಲ್ಗಳು
Profit,ಲಾಭ
Profit: Invoice Item Estimate,ಲಾಭ: ಸರಕುಪಟ್ಟಿ ಐಟಂ ಅಂದಾಜು
Profit: Stock Ledger (COGS),ಲಾಭ: ಸ್ಟಾಕ್ ಲೆಡ್ಜರ್ (COGS)
Profitability Report,ಲಾಭದಾಯಕತೆಯ ವರದಿ
Prorated return discount,ಪ್ರೊರೇಟೆಡ್ ರಿಟರ್ನ್ ಡಿಸ್ಕೌಂಟ್
Purchase Amount,ಖರೀದಿ ಮೊತ್ತ
Purchase Invoices,ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಖರೀದಿಸಿ
Purchase Order created,ಖರೀದಿ ಆದೇಶವನ್ನು ರಚಿಸಲಾಗಿದೆ
Qty,Qty
Qualified,ಅರ್ಹತೆ ಪಡೆದಿದ್ದಾರೆ
Quantity,ಪ್ರಮಾಣ
Quantity exceeds available stock,ಪ್ರಮಾಣವು ಲಭ್ಯವಿರುವ ಸ್ಟಾಕ್ ಅನ್ನು ಮೀರಿದೆ
Quick Actions,ತ್ವರಿತ ಕ್ರಮಗಳು
Quotation {0} is Submitted,ಉದ್ಧರಣ {0} ಸಲ್ಲಿಸಲಾಗಿದೆ
Quotation submitted,ಉದ್ಧರಣ ಸಲ್ಲಿಸಲಾಗಿದೆ
QZ Tray connected.,QZ ಟ್ರೇ ಸಂಪರ್ಕಗೊಂಡಿದೆ.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ಟ್ರೇ ಅನ್ನು ಹಸ್ತಚಾಲಿತವಾಗಿ ಸಂಪರ್ಕ ಕಡಿತಗೊಳಿಸಲಾಗಿದೆ. ಅದನ್ನು ಮತ್ತೆ ಸಕ್ರಿಯಗೊಳಿಸಲು ಸಂಪರ್ಕವನ್ನು ಒತ್ತಿರಿ.
QZ Tray is not connected.,QZ ಟ್ರೇ ಸಂಪರ್ಕಗೊಂಡಿಲ್ಲ.
QZ Tray Setup,QZ ಟ್ರೇ ಸೆಟಪ್
Rate,ದರ
Rate adjusted to maximum allowed discount,ಗರಿಷ್ಠ ಅನುಮತಿಸಲಾದ ರಿಯಾಯಿತಿಗೆ ದರವನ್ನು ಸರಿಹೊಂದಿಸಲಾಗಿದೆ
Ready,ಸಿದ್ಧವಾಗಿದೆ
Ready to resume,ಪುನರಾರಂಭಿಸಲು ಸಿದ್ಧವಾಗಿದೆ
Ready!,ಸಿದ್ಧವಾಗಿದೆ!
Real-time POS insights for retail operations.,ಚಿಲ್ಲರೆ ಕಾರ್ಯಾಚರಣೆಗಳಿಗಾಗಿ ನೈಜ-ಸಮಯದ POS ಒಳನೋಟಗಳು.
Rebuild Offline Data,ಆಫ್‌ಲೈನ್ ಡೇಟಾವನ್ನು ಮರುನಿರ್ಮಿಸಿ
Receive,ಸ್ವೀಕರಿಸಿ
Receive now,ಈಗ ಸ್ವೀಕರಿಸಿ
Received,ಸ್ವೀಕರಿಸಲಾಗಿದೆ
Received:,ಸ್ವೀಕರಿಸಲಾಗಿದೆ:
Recent Movement Entries,ಇತ್ತೀಚಿನ ಚಳುವಳಿ ನಮೂದುಗಳು
Recent updates about your invoices,ನಿಮ್ಮ ಇನ್‌ವಾಯ್ಸ್‌ಗಳ ಕುರಿತು ಇತ್ತೀಚಿನ ನವೀಕರಣಗಳು
Recently Active Customers,ಇತ್ತೀಚೆಗೆ ಸಕ್ರಿಯ ಗ್ರಾಹಕರು
Rechecking connection,ಸಂಪರ್ಕವನ್ನು ಮರುಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ
Reconcile payment methods and close shift,ಪಾವತಿ ವಿಧಾನಗಳನ್ನು ಸಮನ್ವಯಗೊಳಿಸಿ ಮತ್ತು ಕ್ಲೋಸ್ ಶಿಫ್ಟ್
Reconciling Payments,ಪಾವತಿಗಳನ್ನು ಸಮನ್ವಯಗೊಳಿಸುವುದು
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","ಆನ್‌ಲೈನ್‌ನಲ್ಲಿರುವಾಗ ಒಮ್ಮೆ ಈ ಪುಟವನ್ನು ಮರುಸಂಪರ್ಕಿಸಿ ಮತ್ತು ತೆರೆಯಿರಿ, ನಂತರ ಆಫ್‌ಲೈನ್ ರಿಫ್ರೆಶ್‌ಗಳು ಅದನ್ನು ಮರುಸ್ಥಾಪಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತದೆ."
Reconnect online to refresh cached offline data from the server.,ಸರ್ವರ್‌ನಿಂದ ಸಂಗ್ರಹಿಸಲಾದ ಆಫ್‌ಲೈನ್ ಡೇಟಾವನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಲು ಆನ್‌ಲೈನ್‌ಗೆ ಮರುಸಂಪರ್ಕಿಸಿ.
Recreate local offline prerequisites from scratch,ಮೊದಲಿನಿಂದಲೂ ಸ್ಥಳೀಯ ಆಫ್‌ಲೈನ್ ಪೂರ್ವಾಪೇಕ್ಷಿತಗಳನ್ನು ಮರುಸೃಷ್ಟಿಸಿ
Recv:,Recv:
Redeem,ಪಡೆದುಕೊಳ್ಳಿ
Redeem / Scan,ರಿಡೀಮ್ / ಸ್ಕ್ಯಾನ್ ಮಾಡಿ
Redeem Amount,ರಿಡೀಮ್ ಮೊತ್ತ
Redeem Mode,ರಿಡೀಮ್ ಮೋಡ್
Redeemed Amount,ರಿಡೀಮ್ ಮಾಡಿದ ಮೊತ್ತ
Redeemed credit cannot be greater than its total.,ರಿಡೀಮ್ ಮಾಡಿದ ಕ್ರೆಡಿಟ್ ಅದರ ಒಟ್ಟು ಮೊತ್ತಕ್ಕಿಂತ ಹೆಚ್ಚಿರಬಾರದು.
Redemption and Totals,ವಿಮೋಚನೆ ಮತ್ತು ಮೊತ್ತಗಳು
Reference,ಉಲ್ಲೇಖ
Refresh,ರಿಫ್ರೆಶ್ ಮಾಡಿ
Refresh Exchange Rate,ರಿಫ್ರೆಶ್ ವಿನಿಮಯ ದರ
Refresh Offline Data,ಆಫ್‌ಲೈನ್ ಡೇಟಾವನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಿ
Refresh Printers,ಪ್ರಿಂಟರ್‌ಗಳನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಿ
Refund,ಮರುಪಾವತಿ
Release Notes,ಬಿಡುಗಡೆ ಟಿಪ್ಪಣಿಗಳು
Reload,ಮರುಲೋಡ್ ಮಾಡಿ
Reload customers,ಗ್ರಾಹಕರನ್ನು ಮರುಲೋಡ್ ಮಾಡಿ
Reload Items,ಐಟಂಗಳನ್ನು ಮರುಲೋಡ್ ಮಾಡಿ
Reload Now,ಈಗ ಮರುಲೋಡ್ ಮಾಡಿ
Reload to apply the latest changes. Your current session will be refreshed.,ಇತ್ತೀಚಿನ ಬದಲಾವಣೆಗಳನ್ನು ಅನ್ವಯಿಸಲು ಮರುಲೋಡ್ ಮಾಡಿ. ನಿಮ್ಮ ಪ್ರಸ್ತುತ ಸೆಶನ್ ಅನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಲಾಗುತ್ತದೆ.
Reload Workflow,ಕೆಲಸದ ಹರಿವನ್ನು ಮರುಲೋಡ್ ಮಾಡಿ
Remarks,ಟೀಕೆಗಳು
Remarks are required.,ಟೀಕೆಗಳು ಅಗತ್ಯವಿದೆ.
Remove,ತೆಗೆದುಹಾಕಿ
Remove barcode item,ಬಾರ್ಕೋಡ್ ಐಟಂ ಅನ್ನು ತೆಗೆದುಹಾಕಿ
Remove cached data and reload the POS app,ಸಂಗ್ರಹಿಸಿದ ಡೇಟಾವನ್ನು ತೆಗೆದುಹಾಕಿ ಮತ್ತು POS ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಮರುಲೋಡ್ ಮಾಡಿ
Remove item,ಐಟಂ ತೆಗೆದುಹಾಕಿ
Remove Offer,ಪ್ರಸ್ತಾಪವನ್ನು ತೆಗೆದುಹಾಕಿ
Reorder / Purchase Suggestions,ಮರುಕ್ರಮಗೊಳಿಸಿ / ಖರೀದಿ ಸಲಹೆಗಳು
Repair Candidate,ದುರಸ್ತಿ ಅಭ್ಯರ್ಥಿ
Repair Change Allocation,ದುರಸ್ತಿ ಬದಲಾವಣೆ ಹಂಚಿಕೆ
Repair requires an online connection,ದುರಸ್ತಿಗೆ ಆನ್‌ಲೈನ್ ಸಂಪರ್ಕದ ಅಗತ್ಯವಿದೆ
Repaired,ದುರಸ್ತಿ ಮಾಡಲಾಗಿದೆ
Repairing change allocation,ಬದಲಾವಣೆಯ ಹಂಚಿಕೆಯನ್ನು ಸರಿಪಡಿಸುವುದು
Repeat Customers,ಪುನರಾವರ್ತಿಸಿ ಗ್ರಾಹಕರು
Repeat Rate,ಪುನರಾವರ್ತಿತ ದರ
Request,ವಿನಂತಿ
Request ID: {0},ವಿನಂತಿ ID: {0}
Request Payment,ಪಾವತಿಯನ್ನು ವಿನಂತಿಸಿ
Requested route: {0},ವಿನಂತಿಸಿದ ಮಾರ್ಗ: {0}
Required columns cannot be hidden,ಅಗತ್ಯವಿರುವ ಕಾಲಮ್‌ಗಳನ್ನು ಮರೆಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ
Reset,ಮರುಹೊಂದಿಸಿ
Reset item name,ಐಟಂ ಹೆಸರನ್ನು ಮರುಹೊಂದಿಸಿ
Reset to Default,ಡೀಫಾಲ್ಟ್‌ಗೆ ಮರುಹೊಂದಿಸಿ
Resource Health,ಸಂಪನ್ಮೂಲ ಆರೋಗ್ಯ
Restricted,ನಿರ್ಬಂಧಿಸಲಾಗಿದೆ
Restricted operational controls for supervisors only.,ಮೇಲ್ವಿಚಾರಕರಿಗೆ ಮಾತ್ರ ನಿರ್ಬಂಧಿತ ಕಾರ್ಯಾಚರಣೆ ನಿಯಂತ್ರಣಗಳು.
Retry,ಮರುಪ್ರಯತ್ನಿಸಿ
Retry route,ಮಾರ್ಗವನ್ನು ಮರುಪ್ರಯತ್ನಿಸಿ
Return,ಹಿಂತಿರುಗಿ
Return Amount,ರಿಟರ್ನ್ ಮೊತ್ತ
Return Count,ರಿಟರ್ನ್ ಎಣಿಕೆ
Return items must have negative quantities,ಹಿಂತಿರುಗಿಸುವ ಐಟಂಗಳು ಋಣಾತ್ಮಕ ಪ್ರಮಾಣವನ್ನು ಹೊಂದಿರಬೇಕು
Return total must be negative,ರಿಟರ್ನ್ ಒಟ್ಟು ಋಣಾತ್ಮಕವಾಗಿರಬೇಕು
Return Valid Until,ರಿಟರ್ನ್ ವರೆಗೆ ಮಾನ್ಯವಾಗಿರುತ್ತದೆ
Return window passed,ರಿಟರ್ನ್ ವಿಂಡೋ ಪಾಸ್ ಆಗಿದೆ
Return without Invoice,ಸರಕುಪಟ್ಟಿ ಇಲ್ಲದೆ ಹಿಂತಿರುಗಿ
Returns,ಹಿಂತಿರುಗಿಸುತ್ತದೆ
Returns / Voids / Discounts,ರಿಟರ್ನ್ಸ್ / ಶೂನ್ಯಗಳು / ರಿಯಾಯಿತಿಗಳು
Returns by Currency,ಕರೆನ್ಸಿ ಮೂಲಕ ಹಿಂತಿರುಗಿಸುತ್ತದೆ
Revenue,ಆದಾಯ
Review shift totals before submitting the closing entry,ಮುಕ್ತಾಯದ ನಮೂದನ್ನು ಸಲ್ಲಿಸುವ ಮೊದಲು ಶಿಫ್ಟ್ ಮೊತ್ತವನ್ನು ಪರಿಶೀಲಿಸಿ
Round Off,ರೌಂಡ್ ಆಫ್
Rows,ಸಾಲುಗಳು
Rows:,ಸಾಲುಗಳು:
Rule,ನಿಯಮ
Sale,ಮಾರಾಟ
Sales,ಮಾರಾಟ
Sales Order {0} is Submitted,ಸೇಲ್ಸ್ ಆರ್ಡರ್ {0} ಅನ್ನು ಸಲ್ಲಿಸಲಾಗಿದೆ
Sales Person and Print,ಮಾರಾಟದ ವ್ಯಕ್ತಿ ಮತ್ತು ಮುದ್ರಣ
Sales Person not found,ಮಾರಾಟದ ವ್ಯಕ್ತಿ ಕಂಡುಬಂದಿಲ್ಲ
Sales processed,ಮಾರಾಟವನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗಿದೆ
Sales Return,ಮಾರಾಟದ ರಿಟರ್ನ್
Sales Trend Report,ಮಾರಾಟದ ಟ್ರೆಂಡ್ ವರದಿ
Save,ಉಳಿಸಿ
Save & Clear,ಉಳಿಸಿ ಮತ್ತು ತೆರವುಗೊಳಿಸಿ
Save as POS Profile Default,POS ಪ್ರೊಫೈಲ್ ಡೀಫಾಲ್ಟ್ ಆಗಿ ಉಳಿಸಿ
Save Settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಉಳಿಸಿ
Save the selected printer as the POS Profile default so it shows automatically on this setup.,ಆಯ್ಕೆಮಾಡಿದ ಪ್ರಿಂಟರ್ ಅನ್ನು POS ಪ್ರೊಫೈಲ್ ಡೀಫಾಲ್ಟ್ ಆಗಿ ಉಳಿಸಿ ಇದರಿಂದ ಅದು ಈ ಸೆಟಪ್‌ನಲ್ಲಿ ಸ್ವಯಂಚಾಲಿತವಾಗಿ ತೋರಿಸುತ್ತದೆ.
Saved as draft because: {0},ಡ್ರಾಫ್ಟ್ ಆಗಿ ಉಳಿಸಲಾಗಿದೆ ಏಕೆಂದರೆ: {0}
Saving...,ಉಳಿಸಲಾಗುತ್ತಿದೆ...
Scale barcode detected. Quantity here is the number of labels to print.,ಸ್ಕೇಲ್ ಬಾರ್‌ಕೋಡ್ ಪತ್ತೆಯಾಗಿದೆ. ಇಲ್ಲಿ ಪ್ರಮಾಣವು ಮುದ್ರಿಸಬೇಕಾದ ಲೇಬಲ್‌ಗಳ ಸಂಖ್ಯೆಯಾಗಿದೆ.
Scale barcode settings are not configured. Using item barcode only.,ಸ್ಕೇಲ್ ಬಾರ್‌ಕೋಡ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಕಾನ್ಫಿಗರ್ ಮಾಡಲಾಗಿಲ್ಲ. ಐಟಂ ಬಾರ್‌ಕೋಡ್ ಅನ್ನು ಮಾತ್ರ ಬಳಸುವುದು.
Scale template barcode is missing for this item/UOM. Using item barcode only.,ಈ ಐಟಂ/UOM ಗೆ ಸ್ಕೇಲ್ ಟೆಂಪ್ಲೇಟ್ ಬಾರ್‌ಕೋಡ್ ಕಾಣೆಯಾಗಿದೆ. ಐಟಂ ಬಾರ್‌ಕೋಡ್ ಅನ್ನು ಮಾತ್ರ ಬಳಸುವುದು.
Scan an existing card and top it up without leaving the payment flow.,ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಕಾರ್ಡ್ ಅನ್ನು ಸ್ಕ್ಯಾನ್ ಮಾಡಿ ಮತ್ತು ಪಾವತಿಯ ಹರಿವನ್ನು ಬಿಡದೆಯೇ ಅದನ್ನು ಟಾಪ್ ಅಪ್ ಮಾಡಿ.
Scan Error,ಸ್ಕ್ಯಾನ್ ದೋಷ
Scan or enter a gift card code to check balance or redeem.,ಸಮತೋಲನವನ್ನು ಪರಿಶೀಲಿಸಲು ಅಥವಾ ರಿಡೀಮ್ ಮಾಡಲು ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಕೋಡ್ ಅನ್ನು ಸ್ಕ್ಯಾನ್ ಮಾಡಿ ಅಥವಾ ನಮೂದಿಸಿ.
Scan or paste the card code below.,ಕೆಳಗಿನ ಕಾರ್ಡ್ ಕೋಡ್ ಅನ್ನು ಸ್ಕ್ಯಾನ್ ಮಾಡಿ ಅಥವಾ ಅಂಟಿಸಿ.
Scan QR Code/Barcode,QR ಕೋಡ್/ಬಾರ್‌ಕೋಡ್ ಅನ್ನು ಸ್ಕ್ಯಾನ್ ಮಾಡಿ
Scan with camera,ಕ್ಯಾಮೆರಾದೊಂದಿಗೆ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ
Scan-First Flow,ಸ್ಕ್ಯಾನ್-ಮೊದಲ ಹರಿವು
Scanned Code:,ಸ್ಕ್ಯಾನ್ ಮಾಡಿದ ಕೋಡ್:
Scanning for: {0},ಇದಕ್ಕಾಗಿ ಸ್ಕ್ಯಾನ್ ಮಾಡಲಾಗುತ್ತಿದೆ: {0}
Scanning items,ವಸ್ತುಗಳನ್ನು ಸ್ಕ್ಯಾನ್ ಮಾಡಲಾಗುತ್ತಿದೆ
Scan-Ready,ಸ್ಕ್ಯಾನ್-ಸಿದ್ಧ
Scope,ವ್ಯಾಪ್ತಿ
Scope: All Profiles,ವ್ಯಾಪ್ತಿ: ಎಲ್ಲಾ ಪ್ರೊಫೈಲ್‌ಗಳು
Scope: Current Profile,ವ್ಯಾಪ್ತಿ: ಪ್ರಸ್ತುತ ಪ್ರೊಫೈಲ್
Scope: Specific Profile,ವ್ಯಾಪ್ತಿ: ನಿರ್ದಿಷ್ಟ ಪ್ರೊಫೈಲ್
Search,ಹುಡುಕು
Search Account,ಖಾತೆಯನ್ನು ಹುಡುಕಿ
Search an invoice and continue the return flow without extra steps.,ಸರಕುಪಟ್ಟಿ ಹುಡುಕಿ ಮತ್ತು ಹೆಚ್ಚುವರಿ ಹಂತಗಳಿಲ್ಲದೆ ಹಿಂತಿರುಗುವ ಹರಿವನ್ನು ಮುಂದುವರಿಸಿ.
Search customer,ಗ್ರಾಹಕರನ್ನು ಹುಡುಕಿ
Search invoices or customers,ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಅಥವಾ ಗ್ರಾಹಕರನ್ನು ಹುಡುಕಿ
Search item,ಐಟಂ ಹುಡುಕಿ
Search item / code,ಹುಡುಕಾಟ ಐಟಂ / ಕೋಡ್
Search items or barcode,ಐಟಂಗಳನ್ನು ಅಥವಾ ಬಾರ್ಕೋಡ್ ಅನ್ನು ಹುಡುಕಿ
Search Mpesa Payments,Mpesa ಪಾವತಿಗಳನ್ನು ಹುಡುಕಿ
Search return invoices or customers,ರಿಟರ್ನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಅಥವಾ ಗ್ರಾಹಕರನ್ನು ಹುಡುಕಿ
Search supplier,ಪೂರೈಕೆದಾರರನ್ನು ಹುಡುಕಿ
Search unpaid invoices or customers,ಪಾವತಿಸದ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಅಥವಾ ಗ್ರಾಹಕರನ್ನು ಹುಡುಕಿ
Secure context (HTTPS or localhost) is required for camera access.,ಕ್ಯಾಮರಾ ಪ್ರವೇಶಕ್ಕಾಗಿ ಸುರಕ್ಷಿತ ಸಂದರ್ಭ (HTTPS ಅಥವಾ ಲೋಕಲ್ ಹೋಸ್ಟ್) ಅಗತ್ಯವಿದೆ.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,ಕ್ಯಾಮರಾ ಪ್ರವೇಶಕ್ಕಾಗಿ ಸುರಕ್ಷಿತ ಸಂದರ್ಭ (HTTPS) ಅಗತ್ಯವಿದೆ. ಕ್ಯಾಮರಾವನ್ನು ಪ್ರವೇಶಿಸಲು ದಯವಿಟ್ಟು HTTPS ಬಳಸಿ.
Select,ಆಯ್ಕೆ ಮಾಡಿ
Select a cashier first.,ಮೊದಲು ಕ್ಯಾಷಿಯರ್ ಅನ್ನು ಆಯ್ಕೆ ಮಾಡಿ.
Select a customer,ಗ್ರಾಹಕರನ್ನು ಆಯ್ಕೆಮಾಡಿ
Select a customer to use coupon,ಕೂಪನ್ ಬಳಸಲು ಗ್ರಾಹಕರನ್ನು ಆಯ್ಕೆಮಾಡಿ
Select a printer to use QZ silent printing.,QZ ಮೂಕ ಮುದ್ರಣವನ್ನು ಬಳಸಲು ಪ್ರಿಂಟರ್ ಅನ್ನು ಆಯ್ಕೆಮಾಡಿ.
Select Batch,ಬ್ಯಾಚ್ ಆಯ್ಕೆಮಾಡಿ
Select Columns to Display,ಪ್ರದರ್ಶಿಸಲು ಕಾಲಮ್‌ಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿ
Select items to sell,ಮಾರಾಟ ಮಾಡಲು ವಸ್ತುಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿ
Select Payment,ಪಾವತಿ ಆಯ್ಕೆಮಾಡಿ
Select Payment Account,ಪಾವತಿ ಖಾತೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ
Select printer,ಪ್ರಿಂಟರ್ ಆಯ್ಕೆಮಾಡಿ
Select Return Invoice,ರಿಟರ್ನ್ ಇನ್‌ವಾಯ್ಸ್ ಆಯ್ಕೆಮಾಡಿ
Select S.O,S.O ಅನ್ನು ಆಯ್ಕೆಮಾಡಿ
Select Sales Orders,ಮಾರಾಟ ಆದೇಶಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿ
Select the cashier who is taking over this terminal.,ಈ ಟರ್ಮಿನಲ್ ಅನ್ನು ತೆಗೆದುಕೊಳ್ಳುವ ಕ್ಯಾಷಿಯರ್ ಅನ್ನು ಆಯ್ಕೆ ಮಾಡಿ.
Selected,ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ
Selected movement type is not allowed by POS Profile.,POS ಪ್ರೊಫೈಲ್‌ನಿಂದ ಆಯ್ಕೆಮಾಡಿದ ಚಲನೆಯ ಪ್ರಕಾರವನ್ನು ಅನುಮತಿಸಲಾಗುವುದಿಲ್ಲ.
Selected Payments,ಆಯ್ದ ಪಾವತಿಗಳು
Sensitive actions kept away from quick taps.,ಸೂಕ್ಷ್ಮ ಕ್ರಿಯೆಗಳನ್ನು ತ್ವರಿತ ಟ್ಯಾಪ್‌ಗಳಿಂದ ದೂರವಿಡಲಾಗಿದೆ.
Serial,ಧಾರಾವಾಹಿ
Serial Numbers,ಸರಣಿ ಸಂಖ್ಯೆಗಳು
Server CPU Usage:,ಸರ್ವರ್ CPU ಬಳಕೆ:
Server Health,ಸರ್ವರ್ ಆರೋಗ್ಯ
Server Memory Usage:,ಸರ್ವರ್ ಮೆಮೊರಿ ಬಳಕೆ:
